Pokemon,Win %,Z-Score,Raw wins,Times generated,levelchange,next_p
Gastly,0.6326,10.236,942,1489,-7,0.164
Staryu,0.5876,7.287,1016,1729,-4,0.1497
Nidoqueen,0.5865,5.854,671,1144,-4,0.224
Mewtwo,0.5746,7.962,1637,2849,-3,0.0605
Hypno,0.5708,7.24,1491,2612,-3,0.1367
Rhyhorn,0.5774,4.722,537,930,-3,0.1498
Articuno,0.5694,5.938,1042,1830,-3,0.2159
Abra,0.559,6.172,1531,2739,-2,0.0737
Gengar,0.5631,4.975,874,1552,-2,0.0792
Lapras,0.56,4.973,961,1716,-2,0.1101
Drowzee,0.5546,5.669,1492,2690,-2,0.1622
Tentacool,0.564,3.413,401,711,-2,0.1637
Poliwrath,0.5573,4.375,812,1457,-2,0.1795
Nidoking,0.5551,3.77,650,1171,-2,0.2537
Venomoth,0.5484,4.128,997,1818,-1,0.0606
Golem,0.5483,3.584,755,1377,-1,0.0912
Haunter,0.544,3.355,792,1456,-1,0.149
Moltres,0.5429,3.102,708,1304,-1,0.1817
Dugtrio,0.5406,3.502,1005,1859,-1,0.1858
Blastoise,0.5404,3.377,942,1743,-1,0.1977
Ninetales,0.5363,3.129,998,1861,-1,0.3021
Charizard,0.5358,2.635,726,1355,0,0.0662
Ponyta,0.5359,2.485,642,1198,0,0.078
Kadabra,0.5286,2.948,1405,2658,0,0.0833
Chansey,0.5291,2.886,1299,2455,0,0.0837
Clefable,0.5294,2.806,1207,2280,0,0.0879
Zapdos,0.5299,2.506,930,1755,0,0.11
Poliwag,0.5332,2.217,594,1114,0,0.1177
Gyarados,0.5304,2.364,803,1514,0,0.1206
Pikachu,0.531,2.214,676,1273,0,0.1321
Raichu,0.5264,2.412,1095,2080,0,0.1533
Exeggutor,0.5258,2.144,906,1723,0,0.1908
Meowth,0.5243,1.817,734,1400,0,0.252
Alakazam,0.5212,2.286,1509,2895,0,0.2567
Dodrio,0.5247,1.722,637,1214,0,0.2584
Mr. Mime,0.5212,2.198,1402,2690,0,0.2667
Starmie,0.5229,1.854,856,1637,0,0.2692
Golduck,0.5225,1.898,928,1776,0,0.2708
Dragonite,0.5219,1.858,943,1807,0,0.2878
Ivysaur,0.5232,1.362,451,862,0,0.3273
Fearow,0.5215,1.539,666,1277,0,0.3303
Raticate,0.5192,1.804,1152,2219,0,0.3557
Vaporeon,0.5192,1.554,853,1643,0,0.377
Persian,0.5178,1.696,1181,2281,0,0.4043
Kangaskhan,0.5169,1.621,1196,2314,0,0.4374
Electrode,0.5158,1.421,1046,2028,0,0.481
Rapidash,0.5156,1.39,1026,1990,0,0.4885
Clefairy,0.5143,1.095,757,1472,0,0.5329
Jynx,0.5141,1.445,1349,2624,0,0.5446
Doduo,0.5117,0.65,392,766,0,0.5857
Omanyte,0.5096,0.68,634,1244,0,0.6578
Victreebel,0.5087,0.647,700,1376,0,0.6891
Dewgong,0.5086,0.696,824,1620,0,0.7044
Kabutops,0.5062,0.431,614,1213,0,0.74
Slowpoke,0.5022,0.132,462,920,0,0.7915
Geodude,0.5017,0.101,439,875,0,0.794
Graveler,0.504,0.298,688,1365,0,0.799
Diglett,0.5022,0.149,564,1123,0,0.8123
Tentacruel,0.501,0.062,517,1032,0,0.8246
Sandslash,0.5037,0.335,1009,2003,0,0.8486
Electabuzz,0.5007,0.067,1004,2005,0,0.903
Tauros,0.4994,-0.06,1248,2499,0,0.9279
Porygon,0.4962,-0.368,1189,2396,0,0.869
Tangela,0.497,-0.268,1000,2012,0,0.8645
Weezing,0.4984,-0.125,794,1593,0,0.8638
Voltorb,0.4996,-0.028,621,1243,0,0.855
Venusaur,0.4974,-0.19,678,1363,0,0.8278
Koffing,0.4995,-0.032,476,953,0,0.8229
Arcanine,0.495,-0.447,991,2002,0,0.8207
Cubone,0.4974,-0.177,570,1146,0,0.8074
Bulbasaur,0.495,-0.3,445,899,0,0.7367
Venonat,0.493,-0.473,563,1142,0,0.7158
Slowbro,0.4913,-0.674,730,1486,0,0.6944
Psyduck,0.491,-0.583,521,1061,0,0.6646
Gloom,0.4905,-0.569,438,893,0,0.6411
Sandshrew,0.4889,-0.745,551,1127,0,0.6151
Kingler,0.4879,-1.008,847,1736,0,0.605
Wigglytuff,0.4852,-1.428,1133,2335,0,0.517
Parasect,0.4845,-1.362,940,1940,0,0.4928
Dragonair,0.4839,-1.492,1035,2139,0,0.4671
Snorlax,0.4832,-1.637,1154,2388,0,0.4402
Vileplume,0.4822,-1.32,665,1379,0,0.4292
Omastar,0.4818,-1.295,608,1262,0,0.4204
Magnemite,0.4817,-1.283,593,1231,0,0.4202
Aerodactyl,0.4813,-1.395,669,1390,0,0.4016
Horsea,0.4807,-1.274,522,1086,0,0.3992
Oddish,0.48,-1.2,432,900,0,0.3949
Kabuto,0.4796,-1.179,399,832,0,0.3903
Cloyster,0.4805,-1.651,864,1798,0,0.3613
Goldeen,0.4785,-1.405,513,1072,0,0.3475
Magneton,0.4805,-1.818,1050,2185,0,0.3465
Poliwhirl,0.4791,-1.78,873,1822,0,0.3168
Jigglypuff,0.4774,-1.728,696,1458,0,0.2888
Butterfree,0.4773,-1.731,694,1454,0,0.2875
Muk,0.4774,-1.83,781,1636,0,0.2771
Seaking,0.4767,-2.038,909,1907,0,0.2403
Scyther,0.4753,-1.873,683,1437,0,0.239
Mew,0.4775,-2.379,1340,2806,0,0.2204
Weepinbell,0.4716,-1.703,423,897,0,0.2203
Dratini,0.4734,-1.874,587,1240,0,0.2149
Machamp,0.4768,-2.331,1201,2519,0,0.2102
Flareon,0.4755,-2.147,911,1916,0,0.2085
Eevee,0.4731,-2.102,720,1522,0,0.1824
Pinsir,0.4765,-2.593,1449,3041,0,0.1785
Seadra,0.4733,-2.205,806,1703,0,0.1728
Wartortle,0.4694,-2.025,514,1095,0,0.1581
Spearow,0.4663,-1.909,373,800,0,0.1525
Seel,0.468,-2.04,475,1015,0,0.146
Exeggcute,0.4712,-2.276,737,1564,0,0.1435
Rattata,0.4694,-2.308,667,1421,0,0.1248
Primeape,0.4733,-2.693,1207,2550,0,0.1232
Rhydon,0.4689,-2.299,641,1367,0,0.1223
Bellsprout,0.4638,-2.135,404,871,0,0.112
Jolteon,0.4714,-2.619,990,2100,0,0.1107
Mankey,0.4674,-2.515,695,1487,0,0.0912
Grimer,0.4634,-2.343,475,1025,0,0.0882
Nidorina,0.4607,-2.395,428,929,0,0.0737
Pidgeot,0.4615,-2.648,545,1181,0,0.056
Magmar,0.4664,-3.023,944,2024,1,0.3815
Machop,0.4624,-2.848,665,1438,1,0.2922
Paras,0.4594,-2.776,538,1171,1,0.2436
Nidorino,0.457,-2.655,436,954,1,0.2205
Ditto,0.4616,-3.761,1105,2394,1,0.2102
Machoke,0.4587,-3.214,694,1513,1,0.1962
Pidgeotto,0.4541,-2.658,381,839,1,0.1875
Onix,0.4578,-3.222,667,1457,1,0.1821
Ekans,0.4546,-2.858,451,992,1,0.1742
Krabby,0.4522,-3.153,492,1088,1,0.1259
Hitmonlee,0.4577,-4.334,1201,2624,1,0.1069
Marowak,0.4561,-3.996,946,2074,1,0.1067
Farfetchâ€™d,0.4513,-3.503,584,1294,1,0.0935
Shellder,0.4486,-3.498,519,1157,1,0.0761
Charmander,0.4482,-3.583,537,1198,1,0.0694
Golbat,0.4462,-3.623,506,1134,1,0.0574
Lickitung,0.4473,-5.193,1087,2430,2,0.2299
Nidoran-M,0.4375,-4.0,448,1024,2,0.1371
Nidoran-F,0.4355,-3.984,415,953,2,0.1192
Arbok,0.4383,-4.904,693,1581,2,0.0957
Charmeleon,0.4338,-4.53,508,1171,2,0.0767
Growlithe,0.4297,-4.847,510,1187,3,0.2457
Squirtle,0.4281,-4.768,470,1098,3,0.2216
Vulpix,0.4273,-4.956,497,1163,3,0.2006
Pidgey,0.4238,-4.151,314,741,3,0.1967
Hitmonchan,0.4204,-8.14,1098,2612,4,0.3234
Zubat,0.4,-5.235,274,685,4,0.0992
Beedrill,0.3999,-8.653,747,1868,5,0.1937
